Search query: ((pharma*) OR (drug*)) AND ((machine learning) OR (artificial intelligence))
Year,Count
2023,4
2022,4614
2021,5612
2020,3952
2019,2796
2018,1947
2017,1384
2016,1173
2015,1002
2014,827
2013,738
2012,515
2011,520
2010,438
2009,426
2008,357
2007,351
2006,326
2005,307
2004,230
2003,191
2002,169
2001,111
2000,94
1999,102
1998,89
1997,82
1996,91
1995,68
1994,66
1993,60
1992,22
1991,37
1990,48
1989,20
1988,15
1987,10
1986,18
1985,6
1984,3
1983,1
1982,1
1980,1
1978,1
1976,1
1975,2
1974,1
1973,2
